National University of Singapore (NUS),,,,,,,
Nationality,Education Track,Results (GPA),A-level Results,IB Score,University,Course Name,Results
Singaporean,JC,,87.75,,NUS,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,86.25RP,,NUS,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,88.75,,NUS,COMPUTER SCIENCE WITH A SECOND MAJOR IN MATHEMATICS,Accepted by direct entry/discovery day
PR,JC,,87.5,,NUS,COMPUTER SCIENCE WITH A SECOND MAJOR IN MATHEMATICS,Rejected
PR,JC,,88.75,,NUS,COMPUTER SCIENCE WITH MINOR IN ENTREPRENEURSHIP,Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,NUS,COMPUTER SCIENCES,Accepted by direct entry/discovery day
Singaporean,JC,,88.75,,NUS,DATA SCIENCE AND ECONOMICS,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,NUS,DATA SCIENCE AND ECONOMICS,Accepted by ABA
Singaporean,JC,,86.25,,NUS,DATA SCIENCE AND ECONOMICS,Accepted by ABA
Singaporean,JC,,87.5,,NUS,DENTISTRY,Rejected
Singaporean,JC,,88.75 + H3 Distinction,,NUS,DENTISTRY,Accepted by direct entry/discovery day
Singaporean,JC,,90,,NUS,DOUBLE DEGREE IN BUSINESS & COMMUNICATIONS AND NEW MEDIA,Accepted by direct entry/discovery day
PR,JC,,87.5,,NUS,ECONOMICS AND LAW (DDP),Accepted by direct entry/discovery day
Singaporean,Poly,3.87,,,NUS,ELECTRICAL ENGINEERING,Accepted by direct entry/discovery day
Singaporean,Poly,3.6,,,NUS,ELECTRICAL ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,NUS,ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,71.25,,NUS,ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,70,,NUS,ENGINEERING,Accepted by direct entry/discovery day
Singaporean,Poly,3.57,,,NUS,ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,70.875,,NUS,ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,82.5,,NUS,ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,69.75,,NUS,ENGINEERING,Accepted by direct entry/discovery day
