Singapore Management University (SMU),,,,,,,
Nationality,Education Track,Results (GPA),A-level Results,IB Score,University,Course Name,Results
Singaporean,JC,,77.5,,SMU,Economics,Accepted by direct entry/discovery day
Singaporean,IB,,,40,SMU,Economics,Accepted by direct entry/discovery day
Singaporean,JC,,88.75,,SMU,Economics,Accepted by direct entry/discovery day
Singaporean,Poly,3.68,,,SMU,Economics,Accepted by ABA
Singaporean,JC,,73.75,,SMU,"Economics, Did Not Do Aba And Was Shortlisted For Interview. Passed The Interview",Accepted by direct entry/discovery day
Singaporean,JC,,90 + H3 Merit,,SMU,Info Systems,Accepted by direct entry/discovery day
Singaporean,JC,,77.6,,SMU,Infomation Systems,Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,SMU,Infomation Systems,Accepted by direct entry/discovery day
International,Poly,3.83,,,SMU,Information System,Accepted by direct entry/discovery day
Singaporean,JC,,75,,SMU,Information Systems,Accepted by direct entry/discovery day
Singaporean,Poly,3.78,,,SMU,Information Systems,Accepted by direct entry/discovery day
Singaporean,JC,,75,,SMU,Information Systems,Accepted by direct entry/discovery day
Singaporean,JC,,79.875,,SMU,Information Systems,Accepted by direct entry/discovery day
Singaporean,JC,,75,,SMU,Information Systems,Accepted by direct entry/discovery day
Singaporean,Poly,3.84,,,SMU,Information Systems,Accepted by direct entry/discovery day
Singaporean,JC,,82.5,,SMU,Information Systems,Accepted by direct entry/discovery day
Singaporean,JC,,77.625,,SMU,Information Systems,Accepted by direct entry/discovery day
Singaporean,JC,,72.5,,SMU,Information Systems,Accepted by direct entry/discovery day
Singaporean,JC,,72.5,,SMU,Information Systems,Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,SMU,Information Systems,Accepted by direct entry/discovery day
Singaporean,Poly,3.81,,,SMU,Information Systems,Accepted by direct entry/discovery day
International,Poly,3.98,,,SMU,Information Systems,Accepted by direct entry/discovery day
PR,JC,,82.5,,SMU,Information Systems,Accepted by direct entry/discovery day
PR,JC,,72.5,,SMU,Information Systems,Accepted by direct entry/discovery day
Singaporean,IB,,,32,SMU,Information Systems,Accepted by direct entry/discovery day
Singaporean,Poly,3.76,,,SMU,Information Systems,Accepted by direct entry/discovery day
Singaporean,JC,,88.875,,SMU,Information Systems,Accepted by direct entry/discovery day
Singaporean,JC,,80,,SMU,Information Systems,Accepted by direct entry/discovery day
Singaporean,Poly,3.73,,,SMU,Information Systems,Accepted by ABA
Singaporean,JC,,73.75,,SMU,Information Systems,Accepted by direct entry/discovery day
Singaporean,JC,,72.5,,SMU,Information Systems,Accepted by direct entry/discovery day
PR,JC,,85 (first choice) + H3 ungraded,,SMU,Information Systems,Accepted by direct entry/discovery day
PR,JC,,81,,SMU,Information Systems,Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,SMU,Information Systems Management,Accepted by direct entry/discovery day
Singaporean,JC,,73.75,,SMU,Information Systems Management,Accepted by direct entry/discovery day
Singaporean,IB,,,42,SMU,Law,Shortlisted for interview/written test but rejected
Singaporean,JC,,83.75,,SMU,Law,Accepted by direct entry/discovery day
Singaporean,JC,,90 + H3 Distinction,,SMU,Law,Accepted by direct entry/discovery day
Singaporean,Poly,3.85,,,SMU,Law,Accepted by ABA
Singaporean,JC,,82.5,,SMU,Law,Accepted by ABA
Singaporean,JC,,83.75,,SMU,Law,Accepted by direct entry/discovery day
Singaporean,JC,,90,,SMU,Law,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,SMU,Law,Accepted by direct entry/discovery day
Singaporean,JC,,90 + H3 Dist,,SMU,Law,Accepted by direct entry/discovery day
Singaporean,JC,,90,,SMU,Law,Shortlisted for interview/written test but rejected
Singaporean,JC,,90,,SMU,Law,Accepted by direct entry/discovery day
Singaporean,JC,,81.25,,SMU,Law,Accepted by direct entry/discovery day
Singaporean,JC,,90,,SMU,Law,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,SMU,Law,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,SMU,Law,Shortlisted for interview/written test but rejected
Singaporean,JC,,87.75,,SMU,Law With Secondary Degree In Computer Science,Accepted by direct entry/discovery day
