Nanyang Technological University (NTU),,,,,,,
Nationality,Education Track,Results (GPA),A-level Results,IB Score,University,Course Name,Results
Singaporean,JC,,84.375,,NTU,COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,87.75,,NTU,COMPUTING AND BUSINESS DOUBLE DEGREE,Accepted by direct entry/discovery day
Singaporean,JC,,88.75,,NTU,DATA SCIENCE & ECONOMICS,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,NTU,DATA SCIENCE AND ARTIFICIAL INTELLIGENCE,Accepted by direct entry/discovery day
PR,JC,,86.25,,NTU,DATA SCIENCE AND ARTIFICIAL INTELLIGENCE,Accepted by direct entry/discovery day
Singaporean,JC,,88.75,,NTU,DATA SCIENCE AND ARTIFICIAL INTELLIGENCE,Accepted by direct entry/discovery day
PR,JC,,85,,NTU,DATA SCIENCE AND ARTIFICIAL INTELLIGENCE,Accepted by direct entry/discovery day
Singaporean,JC,,87.5,,NTU,DATA SCIENCE AND ARTIFICIAL INTELLIGENCE,Accepted by direct entry/discovery day
Singaporean,JC,,83.25,,NTU,DATA SCIENCE AND ARTIFICIAL INTELLIGENCE,Accepted by ABA
Singaporean,JC,,83.75,,NTU,DATA SCIENCE AND ARTIFICIAL INTELLIGENCE,Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,NTU,DATA SCIENCE AND ECONOMICS,Accepted by direct entry/discovery day
Singaporean,JC,,82.5,,NTU,DOUBLE DEGREE BUSINESS AND ACCOUNTING,Accepted by direct entry/discovery day
Singaporean,JC,,88.75,,NTU,DOUBLE DEGREE IN ACCOUNTANCY AND BUSINESS WITH MINOR IN INTERNATIONAL TRADING,Accepted by direct entry/discovery day
Singaporean,JC,,86.625,,NTU,DOUBLE DEGREE IN BIOMEDICAL SCIENCE AND CHINESE MEDICINE,Accepted by direct entry/discovery day
Singaporean,JC,,87.75 + H3 Merit,,NTU,DOUBLE DEGREE IN BIOMEDICAL SCIENCE AND CHINESE MEDICINE,Accepted by direct entry/discovery day
Singaporean,JC,,86.625,,NTU,DOUBLE MAJOR IN CHINESE AND ENGLISH,Accepted by direct entry/discovery day
Singaporean,JC,,84.375,,NTU,DOUBLE MAJOR IN MATHEMATICAL AND COMPUTER SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,NTU,DOUBLE MAJOR IN MATHEMATICS AND PHYSICS,Accepted by direct entry/discovery day
Singaporean,JC,,80,,NTU,ECONOMICS,Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,NTU,ECONOMICS,Accepted by direct entry/discovery day
Singaporean,Poly,3.63,,,NTU,ECONOMICS,Accepted by direct entry/discovery day
Singaporean,JC,,73.75,,NTU,ECONOMICS,Accepted by direct entry/discovery day
Singaporean,JC,,82.5,,NTU,ECONOMICS AND DATA SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,88.875,,NTU,ECONOMICS AND DATA SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,82.5,,NTU,ECONOMICS AND DATA SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,NTU,ECONOMICS AND DATA SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,88.75,,NTU,ECONOMICS AND GLOBAL AFFAIRS AND PUBLIC POLICY,Accepted by direct entry/discovery day
Singaporean,JC,,88.825,,NTU,ECONOMICS AND MEDIA ANALYTICS,Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,NTU,ECONOMICS AND PUBLIC POLICY AND GLOBAL AFFAIRS,Accepted by direct entry/discovery day
Singaporean,JC,,80,,NTU,ECONOMICS WITH A SECOND MAJOR IN BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,90,,NTU,ECONOMICS WITH A SECOND MAJOR IN BUSINESS,Accepted by direct entry/discovery day
PR,JC,,81.25rp and H3 Dist,,NTU,ECONOMICS WITH A SECOND MAJOR IN BUSINESS,Accepted by direct entry/discovery day
PR,JC,,69.75,,NTU,ELECTRICAL & ELECTRONIC ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,67.5,,NTU,ELECTRICAL & ELECTRONIC ENGINEERING,Accepted by direct entry/discovery day
Singaporean,Poly,3.5,,,NTU,ELECTRICAL AND ELECTRONIC ENGINEERING,Accepted by ABA
Singaporean,JC,,70,,NTU,ELECTRICAL AND ELECTRONIC ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,72.5,,NTU,ELECTRICAL AND ELECTRONIC ENGINEERING,Accepted by direct entry/discovery day
PR,JC,,67.5,,NTU,ELECTRICAL AND ELECTRONIC ENGINEERING,Accepted by direct entry/discovery day
International,JC,,83.75,,NTU,ELECTRICAL AND ELECTRONIC ENGINEERING WITH A SECOND MAJOR IN DATA ANALYTICS,Accepted by direct entry/discovery day
Singaporean,JC,,73.75,,NTU,ENGLISH,Accepted by direct entry/discovery day
Singaporean,JC,,81.25,,NTU,ENGLISH AND PHILOSOPHY DOUBLE MAJOR,Accepted by direct entry/discovery day
Singaporean,Poly,3.98,,,NTU,ENVIRONMENTAL EARTH SYSTEMS SCIENCE,Accepted by direct entry/discovery day
International,JC,,83.75,,NTU,ENVIRONMENTAL EARTH SYSTEMS SCIENCE WITH A SECOND MAJOR IN DATA ANALYTICS,Rejected
Singaporean,Poly,3.69,,,NTU,ENVIRONMENTAL ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,77.625,,NTU,HISTORY,Accepted by direct entry/discovery day
Singaporean,JC,,70,,NTU,HISTORY,Accepted by direct entry/discovery day
Singaporean,JC,,70.25,,NTU,HISTORY,Accepted by ABA
Singaporean,JC,,76.5,,NTU,INFORMATION ENGINEERING AND MEDIA,Accepted by direct entry/discovery day
Singaporean,Poly,3.91,,,NTU,INFORMATION ENGINEERING AND MEDIA,Accepted by direct entry/discovery day
PR,JC,,77.625,,NTU,INFORMATION ENGINEERING AND MEDIA,Accepted by direct entry/discovery day
Singaporean,Poly,3.64,,,NTU,LINGUISTICS AND MULTILINGUAL STUDIES,Accepted by direct entry/discovery day
Singaporean,JC,,83,,NTU,LKC MEDICINE,Shortlisted for interview/written test but rejected
Singaporean,Poly,3.71,,,NTU,LKC MEDICINE,Accepted by ABA
Singaporean,IB,,,44,NTU,LKC MEDICINE,Shortlisted for interview/written test but rejected
Singaporean,Poly,3.54,,,NTU,LKC MEDICINE,Accepted by ABA
Singaporean,JC,,88.75,,NTU,LKC MEDICINE,Accepted by direct entry/discovery day
Singaporean,Poly,3.65,,,NTU,MARITIME STUDIES,Accepted by direct entry/discovery day
Singaporean,JC,,71.25,,NTU,MARKETING WITH MINOR,Accepted by ABA
PR,JC,,72,,NTU,MATERIALS ENGINEERING,Accepted by direct entry/discovery day
PR,JC,,73.75,,NTU,MATERIALS ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,NTU,MATERIALS ENGINEERING WITH A SECOND MAJOR IN PHARMACEUTICAL ENGINEERING,Accepted by direct entry/discovery day
Singaporean,Poly,3.9254,,,NTU,MATERIALS ENGINEERING WITH A SECOND MAJOR IN PHARMACEUTICAL ENGINEERING,Accepted by direct entry/discovery day
PR,JC,,87.5,,NTU,MATHEMATICAL AND COMPUTER SCIENCES,Accepted by direct entry/discovery day
International,IB,,,43,NTU,MATHEMATICAL AND COMPUTER SCIENCES,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,NTU,MATHEMATICAL AND COMPUTER SCIENCES,Accepted by direct entry/discovery day
Singaporean,JC,,78.85,,NTU,MATHEMATICAL SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,80,,NTU,MATHEMATICAL SCIENCE,Accepted by direct entry/discovery day
Singaporean,Poly,3.7,,,NTU,MATHEMATICAL SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,78.75 + H3 Pass,,NTU,MATHEMATICAL SCIENCES,Accepted by direct entry/discovery day
Singaporean,JC,,80,,NTU,MATHEMATICAL SCIENCES,Accepted by direct entry/discovery day
PR,IB,,,45,NTU,MATHEMATICAL SCIENCES AND ECONOMICS,Accepted by direct entry/discovery day
International,JC,,83.75,,NTU,MATHEMATICAL SCIENCES WITH A SECOND MAJOR IN DATA ANALYTICS,Rejected
Singaporean,JC,,77.5,,NTU,MATHEMATICAL SCIENCES WITH A SECOND MAJOR IN DATA ANALYTICS,Accepted by ABA
Singaporean,JC,,84.375,,NTU,MATHEMATICAL SCIENCES WITH A SECOND MAJOR IN DATA ANALYTICS,Accepted by direct entry/discovery day
Singaporean,JC,,80,,NTU,MATHEMATICS AND COMPUTER SCIENCES,Accepted by direct entry/discovery day
Singaporean,JC,,70.875,,NTU,MECHANICAL ENGINEERING,Accepted by direct entry/discovery day
PR,JC,,85,,NTU,MECHANICAL ENGINEERING,Accepted by direct entry/discovery day
Singaporean,Poly,3.51,,,NTU,MECHANICAL ENGINEERING,Accepted by ABA
Singaporean,Poly,3.5,,,NTU,MECHANICAL ENGINEERING,Accepted by ABA
Singaporean,Poly,3.45,,,NTU,MECHANICAL ENGINEERING,Accepted by ABA
Singaporean,Poly,3.6,,,NTU,MECHANICAL ENGINEERING,Accepted by direct entry/discovery day
Singaporean,Poly,3.56,,,NTU,MECHANICAL ENGINEERING,Accepted by ABA
Singaporean,Poly,3.99,,,NTU,MEDICINE,Shortlisted for interview/written test but rejected
Singaporean,JC,,88.75,,NTU,MEDICINE,Accepted by direct entry/discovery day
Singaporean,JC,,90,,NTU,MEDICINE,Accepted by direct entry/discovery day
PR,JC,,86.6,,NTU,MEDICINE,Rejected
Singaporean,JC,,90,,NTU,MEDICINE,Shortlisted for interview/written test but rejected
Singaporean,JC,,87.5,,NTU,MEDICINE,Shortlisted for interview/written test but rejected
Singaporean,IB,,,45,NTU,MEDICINE,Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,NTU,MEDICINE,Rejected
Singaporean,JC,,88.75,,NTU,MEDICINE,Shortlisted for interview/written test but rejected
Singaporean,JC,,88.75,,NTU,NIE EDUCATION (SCIENCE),Accepted by ABA
Singaporean,JC,,87.5,,NTU,PHARMACY,Accepted by direct entry/discovery day
Singaporean,JC,,80,,NTU,PHILOSOPHY,Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,NTU,PHYSICS AND APPLIED PHYSICS,Accepted by direct entry/discovery day
Singaporean,JC,,80,,NTU,PHYSICS AND MATHEMATICAL SCIENCES,Accepted by direct entry/discovery day
Singaporean,JC,,87.75,,NTU,PHYSICS WITH MATHEMATICAL SCIENCE,Accepted by direct entry/discovery day
Singaporean,IB,,,40,NTU,PSYCHOLOGY,Accepted by direct entry/discovery day
Singaporean,JC,,65,,NTU,PSYCHOLOGY,Accepted by direct entry/discovery day
Singaporean,JC,,76.25,,NTU,PSYCHOLOGY,Rejected
Singaporean,Poly,3.72,,,NTU,PSYCHOLOGY,Accepted by direct entry/discovery day
Singaporean,JC,,80,,NTU,PSYCHOLOGY,Accepted by direct entry/discovery day
Singaporean,JC,,76.5,,NTU,PSYCHOLOGY,Rejected
Singaporean,Poly,3.65,,,NTU,PSYCHOLOGY,Rejected
Singaporean,JC,,75,,NTU,PSYCHOLOGY,Rejected
Singaporean,JC,,88.75,,NTU,PSYCHOLOGY AND LINGUISTICS & MULTILINGUAL STUDIES,Accepted by direct entry/discovery day
Singaporean,JC,,90,,NTU,PSYCHOLOGY AND MEDIA ANALYTICS,Accepted by direct entry/discovery day
Singaporean,JC,,85,,NTU,PSYCHOLOGY AND MEDIA ANALYTICS,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,NTU,PSYCHOLOGY WITH A SECOND MAJOR IN BIOLOGICAL SCIENCES,Accepted by direct entry/discovery day
Singaporean,JC,,77.5,,NTU,PUBIC POLICY AND GLOBAL AFFAIRS,Accepted by direct entry/discovery day
Singaporean,JC,,82.5,,NTU,PUBLIC POLICY AND GLOBAL AFFAIRS,Accepted by direct entry/discovery day
Singaporean,JC,,90,,NTU,PUBLIC POLICY AND GLOBAL AFFAIRS,Accepted by direct entry/discovery day
Singaporean,IB,,,41,NTU,PUBLIC POLICY AND GLOBAL AFFAIRS,Accepted by direct entry/discovery day
Singaporean,JC,,80,,NTU,PUBLIC POLICY AND GLOBAL AFFAIRS,Accepted by ABA
Singaporean,JC,,78.75,,NTU,PUBLIC POLICY AND GLOBAL AFFAIRS,Accepted by ABA
Singaporean,JC,,78.75,,NTU,PUBLIC POLICY AND GLOBAL AFFAIRS,Accepted by direct entry/discovery day
Singaporean,JC,,77.5,,NTU,PUBLIC POLICY AND GLOBAL AFFAIRS,Accepted by direct entry/discovery day
Singaporean,JC,,90,,NTU,RENAISSANCE ENGINEERING,Shortlisted for interview/written test but rejected
Singaporean,JC,,90,,NTU,RENAISSANCE ENGINEERING PROGRAM,Accepted by direct entry/discovery day
Singaporean,IB,,,45,NTU,RENAISSANCE ENGINEERING PROGRAMME,Accepted by direct entry/discovery day
Singaporean,JC,,87.5,,NTU,RENAISSANCE ENGINEERING PROGRAMME,Rejected
Singaporean,JC,,90,,NTU,REP,Shortlisted for interview/written test but rejected
International,JC,,83.75,,NTU,SCIENCE (EDUCATION),Rejected
Singaporean,JC,,80,,NTU,SCIENCE (EDUCATION),Shortlisted for interview/written test but rejected
Singaporean,JC,,76.25,,NTU,SOCIOLOGY,Accepted by direct entry/discovery day
Singaporean,JC,,72.5,,NTU,SOCIOLOGY,Accepted by direct entry/discovery day
Singaporean,JC,,75,,NTU,SOCIOLOGY,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,NTU,SOCIOLOGY,Accepted by direct entry/discovery day
Singaporean,JC,,72.5,,NTU,SOCIOLOGY,Accepted by direct entry/discovery day
Singaporean,JC,,72,,NTU,SOCIOLOGY,Accepted by direct entry/discovery day
